"","x"
"fin_0355-2047_1905-02-04_29-00006_751705.txt.lemmatized",13
"fin_0355-2047_1905-02-04_29-00007_751705.txt.lemmatized",13
"fin_0355-2047_1905-02-04_29-00008_751705.txt.lemmatized",15
"fin_0355-2047_1905-02-05_30-00001_751706.txt.lemmatized",12
"fin_0355-2047_1905-02-05_30-00002_751706.txt.lemmatized",2
"fin_0355-2047_1905-02-05_30-00003_751706.txt.lemmatized",18
"fin_0355-2047_1905-02-05_30-00004_751706.txt.lemmatized",13
"fin_0355-2047_1905-02-05_30-00005_751706.txt.lemmatized",13
"fin_0355-2047_1905-02-05_30-00006_751706.txt.lemmatized",19
"fin_0355-2047_1905-02-05_30-00007_751706.txt.lemmatized",4
"fin_0355-2047_1905-02-05_30-00008_751706.txt.lemmatized",3
"fin_0355-2047_1905-02-07_31-00001_751707.txt.lemmatized",12
"fin_0355-2047_1905-02-07_31-00002_751707.txt.lemmatized",18
"fin_0355-2047_1905-02-07_31-00003_751707.txt.lemmatized",11
"fin_0355-2047_1905-02-07_31-00004_751707.txt.lemmatized",13
"fin_0355-2047_1905-02-07_31-00005_751707.txt.lemmatized",13
"fin_0355-2047_1905-02-07_31-00006_751707.txt.lemmatized",4
"fin_0355-2047_1905-02-07_31-00007_751707.txt.lemmatized",13
"fin_0355-2047_1905-02-07_31-00008_751707.txt.lemmatized",15
"fin_0355-2047_1905-02-08_32-00001_751708.txt.lemmatized",12
"fin_0355-2047_1905-02-08_32-00002_751708.txt.lemmatized",18
"fin_0355-2047_1905-02-08_32-00003_751708.txt.lemmatized",5
"fin_0355-2047_1905-02-08_32-00004_751708.txt.lemmatized",10
"fin_0355-2047_1905-02-08_32-00005_751708.txt.lemmatized",13
"fin_0355-2047_1905-02-08_32-00006_751708.txt.lemmatized",4
"fin_0355-2047_1905-02-08_32-00007_751708.txt.lemmatized",8
"fin_0355-2047_1905-02-08_32-00008_751708.txt.lemmatized",15
